Rank,Title,Issn
5419,International Journal of Productivity and Performance Management,17410401
5420,Journal of Community Psychology,"15206629, 00904392"
5421,Journal of Consumer Marketing,7363761
5422,Journal of Minimally Invasive Gynecology,"15534669, 15534650"
5423,Journal of the Economics of Ageing,2212828X
5424,Nursing in Critical Care,"14785153, 13621017"
5425,Optics and Laser Technology,303992
5426,Techniques in Coloproctology,"1128045X, 11236337"
5427,Advances in Clinical Chemistry,"00652423, 21629471"
5428,Chinese Journal of Mechanical Engineering (English Edition),"21928258, 10009345"
5429,Chinese Medicine,17498546
5430,Clinical and Experimental Pediatrics,27134148
5431,Critical care and resuscitation : journal of the Australasian Academy of Critical Care Medicine.,"26529335, 14412772"
5432,International Economics,21107017
5433,International Journal of Approximate Reasoning,"0888613X, 18734731"
5434,International Orthopaedics,"14325195, 03412695"
5435,Journal of Hispanic Higher Education,15381927
5436,"PHAGE: Therapy, Applications, and Research","26416549, 26416530"
5437,ACM Transactions on Computational Logic,"15293785, 1557945X"
5438,Algebraic Combinatorics,25895486
5439,Applied and Computational Mathematics,16833511
5440,BioScience Trends,"18817823, 18817815"
5441,Computer Communication Review,"19435819, 01464833"
5442,International Journal of Design,"1994036X, 19913761"
5443,Journal of Choice Modelling,17555345
5444,Journal of Pharmacological Sciences,"13478648, 13478613"
5445,Language in Society,"14698013, 00474045"
5446,Marine Environmental Research,"18790291, 01411136"
5447,Online Information Review,"14684527, 14684535"
5448,PeerJ Computer Science,23765992
5449,Postgraduate Medical Journal,"14690756, 00325473"
5450,Applied Psycholinguistics,"14691817, 01427164"
5451,Biological Control,"10902112, 10499644"
5452,Clinical Therapeutics,"1879114X, 01492918"
5453,Enterprise Information Systems,"17517583, 17517575"
5454,Environmental Geochemistry and Health,"15732983, 02694042"
5455,IEEE Transactions on Dielectrics and Electrical Insulation,10709878
5456,International Journal of Oral and Maxillofacial Surgery,"13990020, 09015027"
5457,JAC-Antimicrobial Resistance,26321823
5458,Journal of Fractal Geometry,"23081309, 23081317"
5459,Journal of Time Series Analysis,"01439782, 14679892"
5460,Progress in Additive Manufacturing,"23639520, 23639512"
5461,University of Pennsylvania Law Review,"19428537, 00419907"
5462,Acta Neuropsychiatrica,"16015215, 09242708"
5463,Biomarkers in Neuropsychiatry,26661446
5464,Colloids and Interface Science Communications,22150382
5465,Construction Management and Economics,"01446193, 1466433X"
5466,European Financial Management,"13547798, 1468036X"
5467,Industrial Relations Journal,"14682338, 00198692"
5468,International Journal of Sediment Research,10016279
5469,Journal of Reliable Intelligent Environments,"21994668, 21994676"
5470,Neonatology,16617800
5471,Proceedings of the ACM on Measurement and Analysis of Computing Systems,24761249
5472,Sexuality Research and Social Policy,"15536610, 18689884"
5473,Digestive and Liver Disease,"15908658, 18783562"
5474,International Journal of Lean Six Sigma,"20404166, 20404174"
5475,Journal of Automated Reasoning,"15730670, 01687433"
5476,Journal of Economic Methodology,"14699427, 1350178X"
5477,Journal of Public Policy,"14697815, 0143814X"
5478,"Methods, Data, Analyses","21904936, 18646956"
5479,Pesticide Biochemistry and Physiology,"10959939, 00483575"
5480,Physical Therapy in Sport,"1466853X, 18731600"
5481,Quantitative Plant Biology,26328828
5482,Transportation Engineering,2666691X
5483,AIDS Research and Therapy,17426405
5484,Clinical Rheumatology,"14349949, 07703198"
5485,Cold Spring Harbor Symposia on Quantitative Biology,"00917451, 19434456"
5486,Information Society,"01972243, 10876537"
5487,International Journal of Refractory Metals and Hard Materials,"22133917, 02634368"
5488,Journal of Central Nervous System Disease,11795735
5489,Journal of Patient-Reported Outcomes,25098020
5490,Smart Materials and Structures,"09641726, 1361665X"
5491,Systematic and Applied Microbiology,"16180984, 07232020"
5492,Advances in Management Accounting,14747871
5493,Geoarchaeology - An International Journal,"08836353, 15206548"
5494,Humanities and Social Sciences Communications,26629992
5495,Journal of Social Entrepreneurship,"19420684, 19420676"
5496,LGBTQ+ Family: An Interdisciplinary Journal,"27703371, 2770338X"
5497,TechTrends,87563894
5498,Chinese Journal of Communication,"17544769, 17544750"
5499,Drug Metabolism Reviews,"10979883, 03602532"
5500,Engineered Science,"2576988X, 25769898"
5501,Foods,23048158
5502,Immunologic Research,"0257277X, 15590755"
5503,International Journal of Innovation Studies,"20962487, 25892975"
5504,Journal of Aerosol Science,"18791964, 00218502"
5505,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences","14712962, 1364503X"
5506,Toxicon: X,25901710
5507,Big Data Research,22145796
5508,Cancer Chemotherapy and Pharmacology,"14320843, 03445704"
5509,EJNMMI Radiopharmacy and Chemistry,2365421X
5510,Mechatronics,9574158
5511,Nurse Education in Practice,"18735223, 14715953"
5512,Recycling,23134321
5513,SLAS Discovery,"24725552, 24725560"
5514,TESOL Journal,10567941
5515,Applied Spectroscopy Reviews,"05704928, 1520569X"
5516,Current Oncology,17187729
5517,European Journal of Finance,"1351847X, 14664364"
5518,Integrative and Comparative Biology,"15577023, 15407063"
5519,International Journal of Food Contamination,21962804
5520,Journal of Occupational Medicine and Toxicology,17456673
5521,Journal of the Electrochemical Society,"00134651, 19457111"
5522,Animal Health Research Reviews,"14662523, 14752654"
5523,Epilepsy and Behavior,"15255050, 15255069"
5524,Hearing Research,"18785891, 03785955"
5525,Journal of Early Adolescence,"15525449, 02724316"
5526,Journal of Religion and Health,"15736571, 00224197"
5527,Pharmacological Reports,17341140
5528,Sociological Review,"1467954X, 00380261"
5529,Urologic Oncology: Seminars and Original Investigations,"10781439, 18732496"
5530,"Work Organisation, Labour and Globalisation","1745641X, 17456428"
5531,Contemporary Italian Politics,"23248823, 23248831"
5532,Cross-Cultural Research,"15523578, 10693971"
5533,Ecological Entomology,"13652311, 03076946"
5534,International Journal of Agricultural Sustainability,"14735903, 1747762X"
5535,JBI evidence implementation,26913321
5536,Journal of Human Nutrition and Dietetics,"09523871, 1365277X"
5537,Journal of Saudi Chemical Society,13196103
5538,"Language, Speech, and Hearing Services in Schools","01611461, 15589129"
5539,Radiology: Imaging Cancer,2638616X
5540,Advances in Geophysics,652687
5541,"Arthroscopy, Sports Medicine, and Rehabilitation",2666061X
5542,Clean Technologies and Environmental Policy,"1618954X, 16189558"
5543,Diseases of the Colon and Rectum,"00123706, 15300358"
5544,Energy Geoscience,26667592
5545,"Journal of King Saud University, Engineering Sciences",10183639
5546,Journal of Nursing Regulation,"21558264, 21558256"
5547,Science and Technology of Welding and Joining,"13621718, 17432936"
5548,Arabian Journal of Chemistry,18785352
5549,Best Practice and Research in Clinical Haematology,"15321924, 15216926"
5550,British Journal of Developmental Psychology,"2044835X, 0261510X"
5551,Cognitive Behaviour Therapist,1754470X
5552,Ecology and Evolution,20457758
5553,Environmental Toxicology and Pharmacology,"18727077, 13826689"
5554,Frontiers in Digital Health,2673253X
5555,International Journal of Intercultural Relations,1471767
5556,Journal of Optimization Theory and Applications,"00223239, 15732878"
5557,Neurogenetics,"13646753, 13646745"
5558,Oncology Reports,"1021335X, 17912431"
5559,Brain Topography,"15736792, 08960267"
5560,Frontiers in Cardiovascular Medicine,2297055X
5561,Healthcare,"22130772, 22130764"
5562,International Journal of Smart and Nano Materials,"19475411, 1947542X"
5563,Journal of the American Board of Family Medicine,"15572625, 15587118"
5564,"Nanomedicine: Nanotechnology, Biology, and Medicine","15499634, 15499642"
5565,Annales Fennici Mathematici,"27370690, 2737114X"
5566,Biology of the Cell,"02484900, 1768322X"
5567,British Journal of Sociology of Education,"14653346, 01425692"
5568,Capital and Class,3098168
5569,Energy Technology,"21944296, 21944288"
5570,IISE Transactions,"24725862, 24725854"
5571,International Journal of Control,"00207179, 13665820"
5572,Research in Higher Education,"1573188X, 03610365"
5573,Seminars in Respiratory and Critical Care Medicine,"10989048, 10693424"
5574,Conference Record - International Conference on Communications,5361486
5575,Journal of Zhejiang University: Science B,16731581
5576,LEUKOS - Journal of Illuminating Engineering Society of North America,"15502724, 15502716"
5577,Progress in Physical Geography,"14770296, 03091333"
5578,Public Health Nutrition,"14752727, 13689800"
5579,Canadian Geriatrics Journal,19258348
5580,Colloids and Surfaces A: Physicochemical and Engineering Aspects,"18734359, 09277757"
5581,International Journal of Market Research,"25152173, 14707853"
5582,International Review of Research in Open and Distance Learning,14923831
5583,Knowledge and Information Systems,"02191377, 02193116"
5584,Limnology and Oceanography: Methods,15415856
5585,Mathematics Education Research Journal,"2211050X, 10332170"
5586,Publication of the Astronomical Society of Japan,"2053051X, 00046264"
5587,Total Quality Management and Business Excellence,"14783363, 14783371"
5588,Esophagus,"16129067, 16129059"
5589,Frontiers in Sustainable Food Systems,2571581X
5590,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,"23638427, 23638419"
5591,IET Renewable Power Generation,"17521416, 17521424"
5592,International Journal of Law and Psychiatry,"18736386, 01602527"
5593,Journal of Ecohydraulics,"24705357, 24705365"
5594,Mutagenesis,"02678357, 14643804"
5595,North American Journal of Economics and Finance,10629408
5596,Research and Politics,20531680
5597,American Journal of Emergency Medicine,"15328171, 07356757"
5598,Big Data,"21676461, 2167647X"
5599,Faraday Discussions,13645498
5600,Gastroenterology Report,20520034
5601,Journal of Academic Librarianship,991333
5602,Journal of Computational and Applied Mathematics,3770427
5603,Neuropsychology,"08944105, 19311559"
5604,Nuclear Physics B,5503213
5605,Poetics,0304422X
5606,Service Business,"18628508, 18628516"
5607,Social Text,"01642472, 15271951"
5608,Technological and Economic Development of Economy,"20294921, 20294913"
5609,Journal of Soils and Sediments,"16147480, 14390108"
5610,Neuropsychological Rehabilitation,"14640694, 09602011"
5611,Research in Sports Medicine,"15438635, 15438627"
5612,Semantic Web,"15700844, 22104968"
5613,Shock,"10732322, 15400514"
5614,Waste Management and Research,"0734242X, 10963669"
5615,Biophysical Reports,26670747
5616,Current Tropical Medicine Reports,21963045
5617,IATSS Research,3861112
5618,Integrative Zoology,17494877
5619,Journal of Field Archaeology,"00934690, 20424582"
5620,Journal of Humanitarian Logistics and Supply Chain Management,"20426747, 20426755"
5621,Journal of Integrated Pest Management,21557470
5622,Journal of Semiconductors,16744926
5623,Photosynthesis Research,"15735079, 01668595"
5624,Therapeutic Advances in Ophthalmology,25158414
5625,Autonomous Agents and Multi-Agent Systems,"15737454, 13872532"
5626,Carbon Letters,"22334998, 19764251"
5627,IEEE Aerospace and Electronic Systems Magazine,8858985
5628,"Interventional Cardiology: Reviews, Research, Resources","17561485, 17561477"
5629,Journal of Flood Risk Management,1753318X
5630,Letters in Mathematical Physics,"03779017, 15730530"
5631,Mammalian Genome,"14321777, 09388990"
5632,Science of Diabetes Self-Management and Care,"26350114, 26350106"
5633,Seminars in Nephrology,"15584488, 02709295"
5634,Technologies,22277080
5635,Vertebrate Zoology,18645755
5636,ChemPhotoChem,23670932
5637,Childhood Obesity,"21532176, 21532168"
5638,Growth and Change,"14682257, 00174815"
5639,IEEE Journal of Translational Engineering in Health and Medicine,21682372
5640,"Journal of Accounting, Auditing and Finance",0148558X
5641,Journal of Applied Research in Memory and Cognition,22113681
5642,Journal of Financial Data Science,"26403951, 26403943"
5643,"Journal of the Egyptian Public Health Association, The","2090262X, 00132446"
5644,"SAE International Journal of Vehicle Dynamics, Stability, and NVH","23802170, 23802162"
5645,AIMS Microbiology,24711888
5646,BMJ Open Ophthalmology,23973269
5647,Communication and the Public,20570481
5648,Critical Social Policy,"02610183, 1461703X"
5649,EXCLI Journal,16112156
5650,Frontiers in Genetics,16648021
5651,International journal of computer assisted radiology and surgery,"18616410, 18616429"
5652,Journal of Outdoor Recreation and Tourism,22130780
5653,Transportation Letters,"19427867, 19427875"
5654,Chromosome Research,"15736849, 09673849"
5655,Neural Plasticity,"16875443, 20905904"
5656,Signal Processing: Image Communication,9235965
5657,ACS Organic and Inorganic Au,2694247X
5658,Applications in Plant Sciences,21680450
5659,"Botanical Review, The","18749372, 00068101"
5660,Complementary Therapies in Medicine,"18736963, 09652299"
5661,Geological Magazine,"14695081, 00167568"
5662,IEEE Control Systems,1066033X
5663,Infectious Diseases Now,"26669919, 26669927"
5664,Journal of Emotional and Behavioral Disorders,"15384799, 10634266"
5665,Management Communication Quarterly,8933189
5666,Politics,"14679256, 02633957"
5667,Project Leadership and Society,26667215
5668,Addiction Research and Theory,"16066359, 14767392"
5669,"Evolution, Medicine and Public Health",20506201
5670,Experimental Biology and Medicine,"15353699, 15353702"
5671,Genomics,"08887543, 10898646"
5672,Population Research and Policy Review,"15737829, 01675923"
5673,Reaction Chemistry and Engineering,20589883
5674,RSC Medicinal Chemistry,26328682
5675,Women in Sport and Physical Activity Journal,"10636161, 19381581"
5676,ACS Measurement Science Au,2694250X
5677,BMJ Sexual and Reproductive Health,"25152009, 25151991"
5678,Cartilage,"19476035, 19476043"
5679,Dendrochronologia,"16120051, 11257865"
5680,EuroChoices,14780917
5681,Fundamental Research,"20969457, 26673258"
5682,International Journal of Housing Policy,"19491247, 19491255"
5683,Journal of Atmospheric and Oceanic Technology,"15200426, 07390572"
5684,Journal of Causal Inference,"21933685, 21933677"
5685,Journal of Drug Targeting,"10292330, 1061186X"
5686,Journal of Otolaryngology - Head and Neck Surgery,"19160216, 19160208"
5687,Journal of Phonetics,"00954470, 10958576"
5688,Journal of the Taiwan Institute of Chemical Engineers,18761070
5689,Journal of Vision,15347362
5690,Language Awareness,9658416
5691,Neuropsychiatric Disease and Treatment,11782021
5692,Otology and Neurotology,"15374505, 15317129"
5693,Prehospital Emergency Care,"15450066, 10903127"
5694,Smart Agricultural Technology,27723755
5695,Strength and Conditioning Journal,"15334295, 15241602"
5696,Experiments in Fluids,"14321114, 07234864"
5697,Journal of Affective Disorders Reports,26669153
5698,Journal on Migration and Human Security,"23302488, 23315024"
5699,Mikrochimica Acta,"14365073, 00263672"
5700,"Nanotechnology, Science and Applications",11778903
5701,"Acta Paediatrica, International Journal of Paediatrics","08035253, 16512227"
5702,Cell Biology International,"10958355, 10656995"
5703,Computer Law and Security Review,2673649
5704,Facets,23711671
5705,Family Relations,"01976664, 17413729"
5706,Feminist Media Studies,14680777
5707,Journal of Photochemistry and Photobiology B: Biology,"18732682, 10111344"
5708,Mathematika,"20417942, 00255793"
5709,Pain and Therapy,"2193651X, 21938237"
5710,PaleoAmerica,"20555563, 20555571"
5711,Seizure : the journal of the British Epilepsy Association,"10591311, 15322688"
5712,Chemistry - An Asian Journal,"18614728, 1861471X"
5713,Cliometrica,"18632513, 18632505"
5714,Health Care Management Review,"15505030, 03616274"
5715,International Journal of Technology Assessment in Health Care,"14716348, 02664623"
5716,Journal of Experimental Criminology,15733750
5717,Natural Resources Forum,"01650203, 14778947"
5718,Children's Geographies,"14733277, 14733285"
5719,Computational Particle Mechanics,"21964386, 21964378"
5720,European Journal of Applied Mathematics,"14694425, 09567925"
5721,Futures,163287
5722,Identity,"15283488, 1532706X"
5723,Journal of Adolescent and Young Adult Oncology,"21565333, 2156535X"
5724,Journal of Geophysical Research: Space Physics,"21699402, 21699380"
5725,Pharmaceuticals,14248247
5726,"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences","13645021, 14712946"
5727,Retrovirology,17424690
5728,Sociological Inquiry,"1475682X, 00380245"
5729,Endocrine,"15590100, 1355008X"
5730,International Journal of Management Science and Engineering Management,"17509653, 17509661"
5731,Mathematics In Engineering,26403501
5732,Social Responsibility Journal,"1758857X, 17471117"
5733,Stem Cells International,"16879678, 1687966X"
5734,Transformation Groups,"1531586X, 10834362"
5735,Agribusiness,"07424477, 15206297"
5736,Biomolecules and Therapeutics,"19769148, 20054483"
5737,Cambridge Archaeological Journal,"09597743, 14740540"
5738,Canadian Journal of Behavioural Science,"0008400X, 18792669"
5739,Environmental Technology Reviews,"21622523, 21622515"
5740,International Journal of Public Opinion Research,"14716909, 09542892"
5741,Journal of Adolescent Research,"07435584, 15526895"
5742,Journal of Contingencies and Crisis Management,"14685973, 09660879"
5743,Journal of Nephrology,"17246059, 11218428"
5744,Journal of Pacific Rim Psychology,18344909
5745,Journal of Risk Finance,"09657967, 15265943"
5746,Pathogens,20760817
5747,Scandinavian Political Studies,"00806757, 14679477"
5748,Schizophrenia Bulletin Open,26327899
5749,Urban Ecosystems,"15731642, 10838155"
5750,Epigenomes,20754655
5751,Evaluation and the Health Professions,"15523918, 01632787"
5752,Journal of Agrarian Change,"14710366, 14710358"
5753,Journal of Management and Governance,"1572963X, 13853457"
5754,Journal of Movement Disorders,"2005940X, 20934939"
5755,MicrobiologyOpen,20458827
5756,Papers in Regional Science,"14355957, 10568190"
5757,Revista de Psicologia del Trabajo y de las Organizaciones,"15765962, 21740534"
5758,American Journal of Botany,"15372197, 00029122"
5759,Annals of Global Health,22149996
5760,Clinics in Orthopedic Surgery,"20054408, 2005291X"
5761,Estuaries and Coasts,"15592731, 15592723"
5762,Gifted Child Quarterly,"00169862, 19349041"
5763,Journal of Environment and Development,"15525465, 10704965"
5764,Molecular Oral Microbiology,"20411006, 20411014"
5765,Petroleum Research,"20962495, 25241729"
5766,Biodegradation,"09239820, 15729729"
5767,Frontline Gastroenterology,"20414137, 20414145"
5768,Hormone Research in Paediatrics,"16632826, 16632818"
5769,Inland Waters,"20442041, 2044205X"
5770,Journal of Social Policy,"14697823, 00472794"
5771,Law and Society Review,"00239216, 15405893"
5772,Risk Analysis,"15396924, 02724332"
5773,Software and Systems Modeling,"16191374, 16191366"
5774,Affilia - Feminist Inquiry in Social Work,"15523020, 08861099"
5775,American Ethnologist,"00940496, 15481425"
5776,City,"13604813, 14703629"
5777,Immunology and Allergy Clinics of North America,"08898561, 15578607"
5778,International Journal of Medical Sciences,14491907
5779,International Multilingual Research Journal,"19313160, 19313152"
5780,Journal of Advanced Manufacturing Science and Technology,27092135
5781,Journal of Behavioral Education,"10530819, 15733513"
5782,Journal of Sexual Medicine,"17436095, 17436109"
5783,Journal of the American Water Resources Association,"1093474X, 17521688"
5784,Knee,"18735800, 09680160"
5785,Knowledge and Process Management,"10991441, 10924604"
5786,Palgrave Communications,20551045
5787,PLoS ONE,19326203
5788,Tel Aviv,"03344355, 20404786"
5789,Teoria de la Educacion,"11303743, 23865660"
5790,Cognitive Development,8852014
5791,Current Genetics,"01728083, 14320983"
5792,Fractional Calculus and Applied Analysis,"13110454, 13142224"
5793,Genes and Nutrition,"15558932, 18653499"
5794,Higher Education Policy,"09528733, 17403863"
5795,Island Studies Journal,17152593
5796,Journal of Clinical Neurophysiology,"15371603, 07360258"
5797,Journal of Communication Management,1363254X
5798,Journal of Global Information Management,"10627375, 15337995"
5799,Korean Journal of Anesthesiology,"20057563, 20056419"
5800,Ophthalmic Research,"14230259, 00303747"
5801,Structural Concrete,"14644177, 17517648"
5802,Virology,"00426822, 10960341"
5803,American Journal of Epidemiology,"00029262, 14766256"
5804,Cells and Development,26672901
5805,Clinical and Translational Oncology,1699048X
5806,IEEE Journal of Photovoltaics,21563381
5807,Journal of Heritage Tourism,"1743873X, 17476631"
5808,Journal of Multivariate Analysis,"0047259X, 10957243"
5809,Journal of Pediatric Gastroenterology and Nutrition,"02772116, 15364801"
5810,JVS-Vascular Science,26663503
5811,Linear Algebra and Its Applications,243795
5812,Neurologia Medico-Chirurgica,"13498029, 04708105"
5813,Proceedings of the American Mathematical Society,"10886826, 00029939"
5814,Trends in hearing,23312165
5815,Agriculture and Food Security,20487010
5816,American Journal of Distance Education,"08923647, 15389286"
5817,Autonomic Neuroscience: Basic and Clinical,"15660702, 18727484"
5818,Comments on Inorganic Chemistry,"02603594, 15489574"
5819,Food and Nutrition Research,"1654661X, 16546628"
5820,"Homology, Homotopy and Applications","15320073, 15320081"
5821,Journal of Financial Services Research,"15730735, 09208550"
5822,Journal of Marine Systems,"18791573, 09247963"
5823,Journal of Ocean Engineering and Science,24680133
5824,Journal of Systematic Palaeontology,"14780941, 14772019"
5825,JSES International,26666383
5826,Ocular Immunology and Inflammation,"17445078, 09273948"
5827,Reproductive Sciences,"19337191, 19337205"
5828,Anthropology and Education Quarterly,"01617761, 15481492"
5829,"Diabetes, Metabolic Syndrome and Obesity",11787007
5830,European Journal of Pharmaceutics and Biopharmaceutics,"18733441, 09396411"
5831,Finite Elements in Analysis and Design,0168874X
5832,IET Quantum Communication,26328925
5833,International Journal of Climate Change Strategies and Management,17568692
5834,Journal of Intelligent Information Systems,"15737675, 09259902"
5835,Kidney360,26417650
5836,Pediatric Rheumatology,15460096
5837,Topics in Stroke Rehabilitation,"19455119, 10749357"
5838,African Archaeological Review,"15729842, 02630338"
5839,American Journal of Tropical Medicine and Hygiene,"14761645, 00029637"
5840,Clinical Spine Surgery,"23800194, 23800186"
5841,"Cryptogamie, Mycologie",1811584
5842,Pharmacopsychiatry,"14390795, 01763679"
5843,Seminars in Reproductive Medicine,"15268004, 15264564"
5844,ACS Combinatorial Science,"21568952, 21568944"
5845,Annals of Nutrition and Metabolism,"14219697, 02506807"
5846,Antiquity,"17451744, 0003598X"
5847,"Attention, Perception, and Psychophysics","1943393X, 19433921"
5848,Behavioral Disorders,1987429
5849,Clinical Medicine,"14702118, 14734893"
5850,Current Research in Behavioral Sciences,26665182
5851,Deep-Sea Research Part II: Topical Studies in Oceanography,9670645
5852,Drug Testing and Analysis,"19427611, 19427603"
5853,European Journal of Remote Sensing,22797254
5854,Global Media and China,20594372
5855,Health Information Management Journal,"18333575, 18333583"
5856,International Social Work,"00208728, 14617234"
5857,Journal of Cybersecurity,20572093
5858,Materialia,25891529
5859,Papers in Palaeontology,"20562799, 20562802"
5860,Research in Social and Administrative Pharmacy,15517411
5861,Scientia Horticulturae,3044238
5862,Tourism and Hospitality Research,"14673584, 17429692"
5863,Brain Research,"18726240, 00068993"
5864,F and S Reviews,26665719
5865,Ibis,"1474919X, 00191019"
5866,Journal of High Energy Physics,10298479
5867,"Journal of Public Budgeting, Accounting and Financial Management","10963367, 19451814"
5868,Learning and Memory,"10720502, 15495485"
5869,Microbes and Infection,"1769714X, 12864579"
5870,Oncology,"00302414, 14230232"
5871,Research in Autism Spectrum Disorders,"17509467, 18780237"
5872,South African Journal of Chemical Engineering,10269185
5873,Applied Ontology,"18758533, 15705838"
5874,IEEE Computer Architecture Letters,15566056
5875,Implementation Science Communications,26622211
5876,International Journal of Research and Method in Education,"17437288, 1743727X"
5877,Journal of Feline Medicine and Surgery,"1098612X, 15322750"
5878,Journal of Knee Surgery,"19382480, 15388506"
5879,Maternal and Child Health Journal,"10927875, 15736628"
5880,Metabolic Brain Disease,"15737365, 08857490"
5881,Rossijskaja Arheologija,8696063
5882,Biochip Journal,"20927843, 19760280"
5883,Chronobiology International,"15256073, 07420528"
5884,Economic Research-Ekonomska Istrazivanja,"1331677X, 18489664"
5885,Epidemiology and Infection,"14694409, 09502688"
5886,Health and Social Care in the Community,"09660410, 13652524"
5887,Health Informatics Journal,"14604582, 17412811"
5888,International Journal of Sustainability in Higher Education,14676370
5889,Nuclear Engineering and Design,295493
5890,Plant Direct,24754455
5891,Psychology Learning and Teaching,14757257
5892,Transactions on Embedded Computing Systems,"15583465, 15399087"
5893,Tropical Medicine and International Health,"13602276, 13653156"
5894,Young Consumers,"17473616, 17587212"
5895,African Development Review,"14678268, 10176772"
5896,Aphasiology,"14645041, 02687038"
5897,Canadian Journal of Diabetes,"23523840, 14992671"
5898,Current Developments in Nutrition,24752991
5899,EPJ Data Science,21931127
5900,IEEE Consumer Electronics Magazine,"21622256, 21622248"
5901,Journal of Pharmacology and Experimental Therapeutics,"15210103, 00223565"
5902,Mitigation and Adaptation Strategies for Global Change,"15731596, 13812386"
5903,NeuroToxicology,"18729711, 0161813X"
5904,Numerical Algorithms,"10171398, 15729265"
5905,Polymer,323861
5906,Resources Chemicals and Materials,27724433
5907,Southern Economic Journal,384038
5908,Biology and Philosophy,"15728404, 01693867"
5909,Evolution: Education and Outreach,"19366426, 19366434"
5910,Frontiers in Nutrition,2296861X
5911,Gene Expression,"15553884, 10522166"
5912,International Journal of Inclusive Education,"14645173, 13603116"
5913,Progress in Artificial Intelligence,"21926360, 21926352"
5914,Science as Culture,9505431
5915,Substance Abuse: Research and Treatment,11782218
5916,Zhongguo Kuangye Daxue Xuebao/Journal of China University of Mining and Technology,10001964
5917,Applied Geochemistry,"18729134, 08832927"
5918,Canadian Public Policy/ Analyse de Politiques,3170861
5919,China Journal of Accounting Research,17553091
5920,Consciousness and Cognition,"10538100, 10902376"
5921,Environmental Management,"0364152X, 14321009"
5922,Estonian Journal of Archaeology,"17367484, 14062933"
5923,Experimental and Clinical Psychopharmacology,"19362293, 10641297"
5924,Expert Review of Anticancer Therapy,"14737140, 17448328"
5925,IEEE Journal on Multiscale and Multiphysics Computational Techniques,23798793
5926,International Journal of Hyperthermia,"02656736, 14645157"
5927,Journal of Computational Design and Engineering,"22885048, 22884300"
5928,Journal of Global Marketing,"08911762, 15286975"
5929,Journal of Management Control,"2191477X, 21914761"
5930,Journal of Polymer Science,"26424150, 26424169"
5931,"Journal of Speech, Language, and Hearing Research","10924388, 15589102"
5932,Science China Technological Sciences,"16747321, 18691900"
5933,Social Justice Research,"15736725, 08857466"
5934,Advances in Engineering Software,"18735339, 09659978"
5935,Advances in Industrial and Manufacturing Engineering,26669129
5936,Arthroplasty Today,23523441
5937,ChemPhysMater,"27725715, 20970323"
5938,International Journal of Energy Research,"1099114X, 0363907X"
5939,Journal of Financial Regulation,"20534841, 20534833"
5940,Peptides,"18735169, 01969781"
5941,Spinal Cord,"14765624, 13624393"
5942,Australian Critical Care,10367314
5943,European journal of paediatric dentistry : official journal of European Academy of Paediatric Dentistry,"1591996X, 2035648X"
5944,Higher Education Quarterly,"02639769, 09515224"
5945,International Journal of Business Communication,"23294884, 23294892"
5946,International Journal of Sociology,15579336
5947,Journal of Asian Economics,10490078
5948,Journal of Electromyography and Kinesiology,"18735711, 10506411"
5949,Journal of Geochemical Exploration,3756742
5950,Journal of Hospital Medicine,"15535606, 15535592"
5951,Minnesota Law Review,265535
5952,Tissue Engineering - Part A.,"1937335X, 19373341"
5953,Virus Research,"01681702, 18727492"
5954,Applied Food Research,27725022
5955,Chromosoma,"14320886, 00095915"
5956,Critical Sociology,8969205
5957,Ecological Modelling,"18727026, 03043800"
5958,JAMIA Open,25742531
5959,Journal of Environmental Education,"19401892, 00958964"
5960,Journal of Public Health Management and Practice,"10784659, 15505022"
5961,Neuromuscular Disorders,"18732364, 09608966"
5962,Nuclear Science and Techniques/Hewuli,10018042
5963,OpenNano,23529520
5964,Seminars in Diagnostic Pathology,"19301111, 07402570"
5965,Sports Coaching Review,"21640637, 21640629"
5966,World Journal of Men?s Health,"22874690, 22874208"
5967,Aquaculture Reports,23525134
5968,Brain and Cognition,"10902147, 02782626"
5969,Expert Review of Molecular Diagnostics,"17448352, 14737159"
5970,Journal of Medical Screening,"09691413, 14755793"
5971,Journal of Neurologic Physical Therapy,"15570584, 15570576"
5972,Journal of the Medical Library Association : JMLA,"15365050, 15589439"
5973,Multibody System Dynamics,"13845640, 1573272X"
5974,Physics of the Earth and Planetary Interiors,319201
5975,Science and Public Policy,"03023427, 14715430"
5976,Annals of Nuclear Energy,"03064549, 18732100"
5977,Cardiovascular Intervention and Therapeutics,"18684297, 18684300"
5978,Clinical and Experimental Otorhinolaryngology,"19768710, 20050720"
5979,Educational Measurement: Issues and Practice,"17453992, 07311745"
5980,European Journal of Women's Studies,"13505068, 14617420"
5981,Food Chemistry: Molecular Sciences,26665662
5982,Foundations of Data Science,26398001
5983,International Journal of Organizational Analysis,19348835
5984,Journal of Management and Organization,"18393527, 18333672"
5985,Review of Education,20496613
5986,SIAM Journal on Financial Mathematics,1945497X
5987,College and Research Libraries,"00100870, 21506701"
5988,Ecohydrology,"19360584, 19360592"
5989,F1000Research,20461402
5990,International Journal of Aging and Human Development,"00914150, 15413535"
5991,International Urogynecology Journal,"09373462, 14333023"
